/citations?hl=en&user=kcKL3fEAAAAJ,Arnold Sameroff
/citations?hl=en&user=g1cnODoAAAAJ,elizabeth speliotes
/citations?hl=en&user=Emoj_H0AAAAJ,John Swales
/citations?hl=en&user=eiBDprgAAAAJ,Arun Agrawal
/citations?hl=en&user=F8UUbq4AAAAJ,Kim Cameron
/citations?hl=en&user=BCnKhqMAAAAJ,"John V. Moran, Ph.D."
/citations?hl=en&user=nIZWf50AAAAJ,Nicholas W. Lukacs
/citations?hl=en&user=DfcJpIIAAAAJ,Gilbert Omenn
/citations?hl=en&user=BzjA_8kAAAAJ,Ryan E. Mills
/citations?hl=en&user=ZDo5I8oAAAAJ,Robert J. Fontana
/citations?hl=en&user=1r-v7GoAAAAJ,Roger D Cone
/citations?hl=en&user=7btxQB0AAAAJ,Fawwaz Ulaby
/citations?hl=en&user=qMvkM_UAAAAJ,John Varga
/citations?hl=en&user=_ttu2g0AAAAJ,Lawrence M. Seiford
/citations?hl=en&user=6gjnq58AAAAJ,August Evrard
/citations?hl=en&user=puOEoqoAAAAJ,Thomas M. Schmidt
/citations?hl=en&user=CUMVmQgAAAAJ,Gretchen Spreitzer
/citations?hl=en&user=Xcvoa-gAAAAJ,Patrick O'Malley
/citations?hl=en&user=8lEU9J0AAAAJ,John Z. Ayanian
/citations?hl=en&user=XlxrmysAAAAJ,J David Allan
/citations?hl=en&user=jTa6a6QAAAAJ,Dave Ulrich
/citations?hl=en&user=SKVnHakAAAAJ,HV Jagadish
/citations?hl=en&user=b3dORLsAAAAJ,Mick P. Couper
/citations?hl=en&user=EkRcWXgAAAAJ,Sanjay Saint
/citations?hl=en&user=uQKPOLkAAAAJ,Ormond MacDougald
/citations?hl=en&user=P3JdmqAAAAAJ,David Blaauw
/citations?hl=en&user=PBdVSiYAAAAJ,Diane M Harper
/citations?hl=en&user=-eu6WfoAAAAJ,Kenneth Langa
/citations?hl=en&user=FJDGzosAAAAJ,Randolph M Nesse
/citations?hl=en&user=aT8oqcoAAAAJ,Cliff Lampe
/citations?hl=en&user=XPdabQUAAAAJ,Marcelle Soares-Santos
/citations?hl=en&user=8xCZwrIAAAAJ,Harry Mobley
/citations?hl=en&user=wCvT4tMAAAAJ,Heather Stringham
/citations?hl=en&user=D_MJqFIAAAAJ,Dr. Alexey Varganov
/citations?hl=en&user=hjPvMrgAAAAJ,Arvind Rao
/citations?hl=en&user=QSsXDyQAAAAJ,William Chey
/citations?hl=en&user=7PFjNG0AAAAJ,Annemarie Sullivan Palincsar
/citations?hl=en&user=Ge5ao7IAAAAJ,Jiandie Lin
/citations?hl=en&user=hXPgfmwAAAAJ,Alexey Nesvizhskii
/citations?hl=en&user=8uZodNYAAAAJ,Jeremy Taylor
/citations?hl=en&user=cgF0v_QAAAAJ,Joyce Penner
